PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
251253	2043	15
251264	2043	15
251273	2043	15
251274	2043	15
251132	2043	15
252812	2043	15
251277	2043	15
251281	2043	15
251285	2043	15
251286	2043	15
251292	2043	15
252841	2043	15
252850	2043	15
250701	2043	15
252889	2043	15
252926	2043	15
236049	2043	15
236050	2043	15
236055	2043	15
236061	2043	15
236068	2043	15
236071	2043	15
231516	2043	15
242077	2043	15
242078	2043	15
236110	2043	15
252180	2043	15
252184	2043	15
252190	2043	15
235849	2043	15
236124	2043	15
252210	2043	15
238279	2043	15
238338	2043	15
238353	2043	15
235873	2043	15
236130	2043	15
236133	2043	15
238803	2043	15
238722	2043	15
237809	2043	15
238041	2043	15
246178	2043	15
237134	2043	15
237753	2043	15
238641	2043	15
246858	2043	15
238033	2043	15
238133	2043	15
238134	2043	15
238137	2043	15
246772	2043	15
249694	2043	15
238759	2043	15
238854	2043	15
237968	2043	15
238037	2043	15
238090	2043	15
238861	2043	15
238433	2055	15
238064	2043	15
238092	2043	15
238116	2043	15
246535	2043	15
246536	2043	15
246537	2043	15
242427	2043	15
236361	2043	15
253605	2043	15
236012	2043	15
236362	2043	15
236363	2043	15
252424	2043	15
252978	2043	15
252979	2043	15
260936	2043	15
251930	2043	15
251931	2043	15
253056	2043	15
253062	2043	15
235995	2043	15
235999	2043	15
236003	2043	15
253217	2043	15
252882	2043	15
253322	2043	15
253418	2043	15
123008	2082	15
236004	2043	15
236005	2043	15
236006	2043	15
236011	2043	15
251235	2043	15
235954	2043	15
251430	2043	15
253836	2043	15
253850	2043	15
253977	2043	15
253976	2043	15
254101	2043	15
123729	2043	15
253972	2043	15
254077	2043	15
252857	2043	15
252858	2043	15
254091	2043	15
253921	2043	15
254063	2043	15
253790	2043	15
254078	2043	15
254043	2043	15
242559	2043	15
242565	2043	15
254831	2043	15
236350	2043	15
253769	2055	15
251407	2043	15
251408	2043	15
249065	2043	15
249066	2043	15
249087	2043	15
245259	2043	15
235964	2043	15
253794	2043	15
253770	2043	15
253820	2043	15
253842	2043	15
254098	2043	15
254099	2043	15
242079	2043	15
242080	2043	15
242081	2043	15
242082	2043	15
235953	2043	15
226542	2043	15
236462	2043	15
255970	2043	15
255971	2043	15
256706	2043	15
245415	2043	15
256707	2043	15
256708	2043	15
251481	2043	15
251488	2043	15
253172	2043	15
253667	2043	15
257016	2043	15
257078	2043	15
259125	2043	15
256711	2043	15
256712	2043	15
255903	2043	15
253868	2043	15
253256	2043	15
255904	2043	15
255912	2043	15
255914	2043	15
255964	2043	15
252632	2043	15
256055	2043	15
256108	2043	15
256113	2043	15
256114	2043	15
256119	2043	15
256120	2043	15
256122	2043	15
256123	2043	15
226546	2043	15
256326	2043	15
256327	2043	15
256167	2043	15
256177	2043	15
256178	2043	15
256263	2043	15
256269	2043	15
254858	2043	15
256254	2043	15
254863	2043	15
259026	2043	15
256270	2043	15
256272	2043	15
256273	2043	15
256274	2043	15
255977	2043	15
255978	2043	15
255979	2043	15
255980	2043	15
255983	2043	15
256052	2043	15
243263	2043	15
243268	2043	15
243305	2043	15
243355	2043	15
243356	2043	15
244570	2043	15
242447	2042	15
242460	2043	15
243363	2043	15
243369	2043	15
243375	2043	15
243376	2043	15
243385	2043	15
242642	2043	15
242651	2043	15
243405	2043	15
243398	2043	15
243412	2043	15
243423	2043	15
242932	2043	15
242355	2043	15
243768	2043	15
243781	2043	15
243797	2043	15
243805	2043	15
243717	2043	15
242889	2043	15
242931	2043	15
242950	2043	15
242083	2043	15
242084	2043	15
242085	2043	15
242086	2043	15
242087	2043	15
242090	2043	15
242091	2043	15
245239	2043	15
244584	2043	15
242092	2043	15
242093	2043	15
242094	2043	15
242358	2043	15
243647	2043	15
238479	2043	15
242103	2043	15
242099	2043	15
242100	2043	15
242101	2043	15
242102	2043	15
242356	2043	15
242357	2043	15
242242	2043	15
242243	2043	15
242104	2043	15
242105	2043	15
242108	2043	15
242109	2043	15
242112	2043	15
242113	2043	15
242116	2043	15
242117	2043	15
242118	2043	15
254009	2043	15
254221	2043	15
254145	2043	15
253359	2043	15
253627	2043	15
253489	2043	15
253477	2043	15
253483	2043	15
253485	2043	15
253487	2043	15
253488	2043	15
253531	2043	15
253578	2043	15
253602	2043	15
253755	2043	15
254144	2043	15
253470	2043	15
253472	2043	15
253380	2043	15
253736	2043	15
253739	2043	15
253740	2043	15
253763	2043	15
253967	2043	15
253618	2043	15
253482	2043	15
253492	2043	15
253493	2043	15
